"idx","latitude","longitude","elevation","x","y","z","xf","yf","distkm","distkmTotal","distkmTotalFixed","pct"
1,64.146423,-21.771265,39.9,2580070.94579776,-1030454.09263464,5733371.40651247,2580054.78755164,-1030447.6391955,0,0,0,0
2,64.151058,-21.771619,27.4,2579628.78605557,-1030295.97905377,5733584.88672226,2579617.69179646,-1030291.54804005,0.515828403685487,0.515828403685487,0.528828146876037,0.00038941689755231
3,64.155736,-21.751395,28.2,2579557.81303566,-1029212.01663964,5733812.38263047,2579546.39517216,-1029207.46105175,1.10984957226498,1.62567797595047,1.6666477946865,0.00122728114483542
4,64.153376,-21.737201,53.2,2580042.20515342,-1028664.448747,5733720.4805206,2580020.66111023,-1028655.85912344,0.736825840067969,2.36250381601844,2.42204288497141,0.00178353673414684
5,64.164898,-21.711055,61.9,2579443.58274857,-1027061.82605544,5734286.75098381,2579418.52137571,-1027051.84732222,1.80205730003367,4.16456111605211,4.2695150593077,0.0031439727977229
6,64.164598,-21.696818,56.2,2579724.29949182,-1026431.02933603,5734267.08343673,2579701.54337399,-1026421.97504079,0.690719337769937,4.85528045382205,4.97764168590392,0.00366542097636519
7,64.172312,-21.677163,47.3,2579355.19941349,-1025259.39714855,5734632.82369974,2579336.04973602,-1025251.78540637,1.28168747772338,6.13696793154543,6.29162984335316,0.00463301166668127
8,64.182376,-21.67963,39.9,2578371.98123202,-1024997.14117137,5735113.61651887,2578355.83362603,-1024990.72190755,1.12545898408795,7.26242691563337,7.44545228641333,0.00548266000472263
9,64.208415,-21.715947,4,2575285.55255588,-1025660.96613497,5736341.68031857,2575283.93567693,-1025660.32217934,3.38745424343275,10.6498811590661,10.9182760731278,0.00803996765326052
10,64.20599,-21.755204,26.5,2574816.78723998,-1027518.832571,5736244.60989604,2574806.07740463,-1027514.55865233,1.9185492650531,12.5684304241192,12.885176005895,0.00948834757429678
11,64.222802,-21.807969,9.7,2572299.83633797,-1029261.55861696,5737042.68708392,2572295.91995586,-1029259.99154399,3.16371033949888,15.7321407636181,16.1286171660485,0.0118767431266925
12,64.243273,-21.829544,25.6,2570015.54353139,-1029470.40211294,5738046.53109713,2570005.21671715,-1029466.26550387,2.50385942793134,18.2360001915494,18.6955780620567,0.013766994154681
13,64.274279,-21.838471,40,2566978.19763773,-1028717.8860518,5739556.87534932,2566962.08109665,-1028711.42733934,3.4746064899683,21.7106066815177,22.2577504784748,0.0163900960813511
14,64.283034,-21.828632,60.1,2566348.73858684,-1027954.18721669,5739997.48595323,2566324.52949812,-1027944.49023602,1.08332465668365,22.7939313382014,23.3683767382269,0.0172079357424351
15,64.29107,-21.799943,59.1,2566115.21510301,-1026369.89830177,5740384.2720126,2566091.41099025,-1026360.37736341,1.64745501885979,24.4413863570612,25.0573503939244,0.0184516571383832
16,64.304309,-21.784966,40.5,2565144.19111441,-1025203.80753635,5741005.9645018,2565127.88477642,-1025197.2904291,1.63986487576263,26.0812512328238,26.738542622155,0.0196896484699227
17,64.332032,-21.73438,26.6,2563462.08748862,-1021907.67109078,5742329.38585744,2563451.38464655,-1021903.40447163,3.93006770428762,30.0113189371114,30.7676546413973,0.0226565939921924
18,64.333695,-21.699822,30.1,2563924.53430743,-1020300.26571595,5742412.63627601,2563912.42101848,-1020295.44529641,1.67467600790231,31.6859949450137,32.484535300836,0.0239208654645331
19,64.32994,-21.670125,28.4,2564802.07560329,-1019109.91435863,5742230.24347192,2564790.64253874,-1019105.37149369,1.49006114464386,33.1760560896576,34.0121484920135,0.0250457647216594
20,64.330391,-21.636028,23,2565363.90922784,-1017565.87965872,5742247.1002487,2565354.64801972,-1017562.20614895,1.64316290340812,34.8192189930657,35.6967218637323,0.026286245849582
21,64.342192,-21.608069,11.2,2564755.75333669,-1015876.47864901,5742804.76913324,2564751.24459176,-1015874.69277606,1.88013934173335,36.6993583347991,37.6242438785219,0.0277056287765257
22,64.356816,-21.641983,69.8,2562815.03618992,-1016863.14085256,5743561.51177354,2562786.95856793,-1016852.00032994,2.30489582656702,39.0042541613661,39.9872269558341,0.0294456752252092
23,64.364079,-21.606867,53.7,2562754.3704068,-1015021.55101685,5743896.45939199,2562732.76959849,-1015012.99565696,1.87278492287128,40.8770390842374,41.9072092080391,0.0308595060442114
24,64.364283,-21.572213,23.5,2563336.64418766,-1013459.02065677,5743879.04639072,2563327.1891274,-1013455.28243684,1.66758720751374,42.5446262917511,43.6168224173989,0.0321184259332834
25,64.359015,-21.534297,42.3,2564505.55659968,-1011959.31839518,5743642.53557547,2564488.52978053,-1011952.59957632,1.91608988988422,44.4607161816353,45.5812009946073,0.0335649491860142
26,64.362245,-21.516198,69.7,2564534.88975565,-1011034.76447956,5743822.64929009,2564506.8335437,-1011023.70368029,0.942391281327304,45.4031074629626,46.5473421209504,0.0342763933143965
27,64.353286,-21.454325,8.3,2566436.32854255,-1008583.53222717,5743336.18977038,2566432.98504957,-1008582.21826823,3.14016749231737,48.54327495528,49.7666471145837,0.0366470155482943
28,64.356998,-21.411613,2.2,2566838.60578766,-1006533.26008411,5743509.32797949,2566837.71942084,-1006532.91251349,2.09652562159541,50.6398005768754,51.9160087073634,0.0382297560437138
29,64.361697,-21.408212,3,2566460.11908306,-1006209.08185734,5743736.15051675,2566458.91057942,-1006208.60805012,0.547532804199649,51.1873333810751,52.4773402589607,0.0386431077017383
30,64.368521,-21.416763,10.4,2565676.03316016,-1006343.46533784,5744071.10328098,2565671.84496566,-1006341.82258867,0.863158738924203,52.0504921199993,53.3622520495946,0.0392947364135453
31,64.378692,-21.38522,10.5,2565280.19740886,-1004559.02323757,5744560.33728641,2565275.96959569,-1004557.36763368,1.89215999939433,53.9426521193936,55.3020976628322,0.040723194155252
32,64.381149,-21.358527,6.9,2565517.04806408,-1003273.51319046,5744675.22612642,2565514.26952877,-1003272.42661383,1.31218663293405,55.2548387523277,56.6473536054908,0.0417138097242201
33,64.385548,-21.355233,2.8,2565162.28854147,-1002964.7572819,5744883.0107064,2565161.16117508,-1002964.31648766,0.514158498549869,55.7689972508775,57.1744697628137,0.0421019659519983
34,64.387972,-21.362175,27,2564824.1405025,-1003190.8236081,5745021.35195798,2564813.27094382,-1003186.57215033,0.429637500683879,56.1986347515614,57.6149348509938,0.0424263143232649
35,64.386427,-21.419477,36.7,2563967.67761457,-1005813.5295143,5744955.83314098,2563952.9080224,-1005807.73558181,2.75978398868367,58.9584187402451,60.4442700370484,0.0445097717504038
36,64.395289,-21.43526,28.1,2562859.9069227,-1006193.67450868,5745374.00330531,2562848.60319554,-1006189.23659979,1.24359656193397,60.2020153021791,61.7192073235766,0.045448606276566
37,64.39898,-21.46735,22.5,2561949.26153685,-1007492.57340023,5745546.30921729,2561940.21371786,-1007489.01532413,1.59565117632942,61.7976664785085,63.3550715927985,0.0466532191404996
38,64.397596,-21.519578,22,2561158.72638717,-1009878.33049752,5745479.35861982,2561149.88235995,-1009874.84325117,2.5142126267875,64.311879105296,65.9326466056841,0.0485512861602976
39,64.40987,-21.596696,69.2,2558671.64416451,-1012879.09619888,5746111.56392046,2558643.85289868,-1012868.09471212,3.94839920965941,68.2602783149554,69.9805521150599,0.0515320707769218
40,64.409205,-21.651199,60.7,2557765.55248107,-1015335.84300459,5746071.95808892,2557741.18348251,-1015326.1694371,2.61881187336019,70.8790901883156,72.665362451426,0.0535091034252032
41,64.398916,-21.677924,60.9,2558250.60431711,-1016909.94844656,5745577.86421613,2558226.15038954,-1016900.22795937,1.71965461102458,72.5987447993402,74.4283552504217,0.054807330817689
42,64.392929,-21.7101,51.2,2558233.00459195,-1018566.97062173,5745281.42161864,2558212.44573506,-1018558.78506063,1.68342224440067,74.2821670437408,76.1542025662261,0.0560782051297689
43,64.394839,-21.783357,39.9,2556746.21508093,-1021764.1452887,5745363.01990255,2556730.20291093,-1021757.74627221,3.52691468299529,77.8090817267361,79.770001430097,0.0587407963402776
44,64.386867,-21.846625,17.1,2556349.20204769,-1024880.56651283,5744959.30969636,2556342.34073015,-1024877.81570281,3.16744100581642,80.9765227325525,83.0172672756327,0.0611320083031168
45,64.39456,-21.856023,17.9,2555465.43716134,-1025012.81964712,5745329.77305509,2555458.25733042,-1025009.93977301,0.967354312568074,81.9438770451206,84.0090005435816,0.0618622978965991
46,64.401898,-21.906191,7.1,2553879.92114609,-1026973.7097573,5745672.61650754,2553877.0750423,-1026972.56527367,2.54489541862104,84.4887724637416,86.6180316062512,0.0637835284287564
47,64.416447,-21.924924,61.1,2552212.09871619,-1027272.55310279,5746420.10687886,2552187.62239163,-1027262.70131326,1.85193975550779,86.3407122192494,88.5166433578219,0.065181622502078
48,64.425641,-21.953924,52.1,2550832.95006563,-1028218.00828787,5746853.38678536,2550812.09034033,-1028209.59991868,1.72732972669412,88.0680419459435,90.2875046983085,0.0664856441077382
49,64.470026,-21.964985,27.8,2546495.19441313,-1027041.02213061,5748960.27052411,2546484.08277327,-1027036.54063385,4.96390769493229,93.0319496408759,95.3765112144664,0.0702330715864995
50,64.493512,-21.943538,42.5,2544699.29697961,-1025209.3997735,5750098.58275263,2544682.32177969,-1025202.56079864,2.80639319774441,95.8383428386202,98.2536302400282,0.0723517159352196
51,64.509863,-21.916448,41.2,2543660.75597905,-1023393.38256842,5750880.09917653,2543644.30673318,-1023386.76452812,2.23321602623864,98.0715588648589,100.543127065507,0.0740376487963968
52,64.517888,-21.887383,21.2,2543424.14324853,-1021799.41420803,5751246.01417067,2543415.67983424,-1021796.01410201,1.6524571102099,99.7240159750688,102.237228873668,0.0752851464459999
53,64.530795,-21.886332,0,2542232.15969579,-1021266.38552917,5751844.19260438,2542232.15969579,-1021266.38552917,1.43623180616692,101.160247781236,103.709656136519,0.0763694080534016
54,64.538498,-21.904689,0,2541187.33645285,-1021792.34209738,5752212.472665,2541187.33645285,-1021792.34209738,1.22634258007296,102.386590361309,104.966904611829,0.0772952169453825
55,64.549034,-21.910375,11.5,2540109.10525426,-1021651.63978969,5752726.41392337,2540104.52022805,-1021649.79565648,1.20271163378617,103.589301995095,106.199926601268,0.0782031860097705
56,64.580061,-21.873243,20.1,2537882.76205362,-1018845.87347323,5754215.95760723,2537874.75525993,-1018842.6591054,3.87913251329605,107.468434508391,110.176819777053,0.0811316787754444
57,64.596176,-21.831186,20.1,2537127.48284505,-1016380.8183831,5754984.90722775,2537119.47843421,-1016377.6117923,2.69039528679053,110.158829795181,112.935017549243,0.0831627522453926
58,64.605467,-21.823815,20.1,2536391.84670083,-1015707.47168558,5755428.03330523,2536383.84461085,-1015704.26721912,1.09129145158113,111.250121246763,114.053811380521,0.0839866063184986
59,64.628803,-21.77295,20.1,2535115.44210017,-1012585.76982098,5756540.35585484,2535107.44403713,-1012582.57520322,3.55126635024015,114.801387597003,117.694575614601,0.0866675814540509
60,64.643233,-21.762199,30.5,2533962.99057698,-1011574.1638964,5757237.08954684,2533950.8597496,-1011569.32119286,1.68431852614608,116.485706123149,119.421341799958,0.0879391324005583
61,64.646087,-21.747973,32.9,2533948.66249756,-1010839.09501401,5757375.15823839,2533935.5771922,-1010833.87504313,0.748060505110623,117.233766628259,120.188254687737,0.0885038694313233
62,64.65747,-21.728039,20.1,2533232.4989773,-1009531.94493683,5757905.47620237,2533224.50685478,-1009528.75995362,1.58201411338362,118.815780741643,121.810138217095,0.089698187199628
63,64.658403,-21.715078,34.9,2533379.57972915,-1008926.52396805,5757963.25719981,2533365.70208624,-1008920.99715236,0.625704355642793,119.441485097286,122.451611374685,0.0901705532950553
64,64.666847,-21.700562,50.8,2532852.96229773,-1007973.39078245,5758379.44312762,2532832.76642509,-1007965.35363915,1.16576134568353,120.607246442969,123.646751866626,0.0910506272950114
65,64.672651,-21.670275,38,2532838.23820028,-1006416.93828972,5758643.98994052,2532823.13110893,-1006410.93552476,1.57884330362123,122.186089746591,125.265384676483,0.0922425513081611
66,64.713957,-21.612328,50.6,2529999.4551201,-1002327.39961813,5760618.74183903,2529979.3614212,-1002319.43895833,5.35561957044708,127.541709317038,130.755974866122,0.0962856957777037
67,64.749223,-21.576419,39.9,2527325.17255087,-999435.803136088,5762282.96380805,2527309.34463644,-999429.543955613,4.27583351373646,131.817542830774,135.139566574651,0.0995136719990067
68,64.765692,-21.550444,72.1,2526250.15361681,-997686.547855345,5763093.04254043,2526221.56460805,-997675.257259513,2.20721256304289,134.024755393817,137.402404605934,0.101179973936623
69,64.780036,-21.508312,64.8,2525637.81751444,-995298.469291806,5763766.2389765,2525612.12929187,-995288.34612671,2.55559546279112,136.580350856608,140.02240537188,0.103109282306244
70,64.788533,-21.502454,60,2524942.35518932,-994726.170631924,5764164.42097473,2524918.57632971,-994716.802713518,0.984755048462296,137.56510590507,141.031977903529,0.103852708323659
71,64.803157,-21.457039,61.1,2524361.11647706,-992186.443556226,5764857.89545372,2524336.90725009,-992176.928250886,2.69610068667413,140.261206591745,143.796024861273,0.105888088999465
72,64.80556,-21.428318,65,2524634.63506034,-990833.191902695,5764975.17596586,2524608.87778879,-990823.083050019,1.38558910637732,141.646795698122,145.21653314314,0.106934118662106
73,64.829475,-21.374245,79.9,2523333.52223679,-987575.35926865,5766120.1806332,2523301.87699743,-987562.974041586,3.69017665421226,145.336972352334,148.999708454444,0.109719962043037
74,64.845053,-21.291225,80.5,2523301.25406443,-983348.881492862,5766857.24602091,2523269.37159945,-983336.456663987,4.29038704663403,149.627359398968,153.398220469373,0.112958925235179
75,64.842682,-21.256742,119.5,2524130.47324954,-981922.604338725,5766780.47409315,2524083.12935785,-981904.186892432,1.65159465555347,151.278954054522,155.09143808757,0.114205771787607
76,64.854366,-21.217883,140.5,2523707.84828516,-979788.070511959,5767351.67161901,2523652.19404983,-979766.46367031,2.24969178593076,153.528645840452,157.397825889591,0.11590414277584
77,64.906937,-21.178111,179.9,2519467.51773721,-976129.876887913,5769868.90740837,2519396.37672196,-976102.314369257,6.13997229359029,159.668618134043,163.692535809964,0.120539422540475
78,64.910756,-21.152383,198.4,2519554.22011077,-974862.492062656,5770065.74534935,2519475.76084363,-974832.134709724,1.28550642623071,160.954124560273,165.010439159845,0.121509896288546
79,64.941022,-21.051017,293.2,2518467.52773616,-969322.901075605,5771577.90084784,2518351.63059316,-969278.293887445,5.84419223438479,166.798316794658,171.001914866137,0.125921881344726
80,64.971203,-21.067808,338.5,2515363.88442257,-968974.794884239,5773039.63760894,2515230.24677722,-968923.31465476,3.44825377506531,170.246570569724,174.537070434922,0.12852508868551
81,64.987714,-21.054965,380.1,2514044.77521406,-967819.544644235,5773853.87552365,2513894.79382791,-967761.807042155,1.93329656358501,172.179867133309,176.519089322943,0.129984601857838
82,64.9981,-21.068012,364.1,2512841.30967659,-968013.316905202,5774327.60288554,2512697.71004761,-967957.998508206,1.30778232224763,173.487649455556,177.85982995888,0.130971892458674
83,65.015159,-21.069299,310,2511193.84366563,-967443.447976251,5775080.0661639,2511071.65998731,-967396.376421285,1.89870899264021,175.386358448196,179.806389611006,0.132405294264364
84,65.035168,-21.092677,260,2508897.38865382,-967734.541263536,5775974.18090243,2508795.0049305,-967695.049706021,2.4815080271533,177.86786647535,182.350435813351,0.134278671438402
85,65.057323,-21.100574,228.1,2506667.55713198,-967271.362358892,5776984.62623989,2506577.81448569,-967236.732520768,2.49152224423469,180.359388719584,184.904748607887,0.136159608695057
86,65.065391,-21.110959,205.8,2505724.52166981,-967429.296637419,5777342.68703734,2505643.58281416,-967398.047144702,1.02101256304922,181.380401282634,185.951492404461,0.136930406777954
87,65.075991,-21.10671,165.4,2504783.20260886,-966852.429841669,5777802.87315126,2504718.17664961,-966827.329662682,1.19608868148843,182.576489964122,187.177724532067,0.137833375944085
88,65.086023,-21.08934,81,2504099.10658204,-965716.205181849,5778196.343499,2504067.27022214,-965703.927357627,1.38340621874369,183.959896182866,188.595994913861,0.138877757668528
89,65.108886,-21.097763,40.9,2501790.02088258,-965248.206986776,5779230.46259569,2501773.96020843,-965242.010408809,2.57299463353122,186.532890816397,191.233833338908,0.140820201280492
90,65.143658,-21.083386,5.9,2498745.41512652,-963353.262651361,5780825.02931528,2498743.10111235,-963352.370518417,3.92467594424904,190.457566760646,195.257417716692,0.143783076374589
91,65.152144,-21.061864,20.3,2498313.73176754,-962109.061625927,5781234.67039794,2498305.77138343,-962105.996055103,1.37919996038095,191.836766721027,196.671375835339,0.144824282647525
92,65.199051,-21.059439,52.1,2493949.19619417,-960307.057493257,5783453.34752909,2493928.80164221,-960299.20447355,5.21717527764359,197.05394199867,202.020032703187,0.148762910679814
93,65.227836,-21.072979,55,2491011.75674567,-959851.994216523,5784797.86941414,2490990.25235642,-959843.708012796,3.26241815205106,200.316360150722,205.364669278756,0.151225824211161
94,65.241065,-21.087506,36.1,2489514.65640055,-960000.113014823,5785396.92208595,2489500.55014253,-959994.673396599,1.61929389715324,201.935654047875,207.024772105124,0.152448285791697
95,65.267018,-21.088986,39,2487045.67021962,-959121.825252162,5786607.56385706,2487030.44589261,-959115.954035366,2.88668246498242,204.822336512857,209.984203822473,0.154627543315518
96,65.286641,-21.041436,82.7,2486008.01340611,-956352.426633734,5787559.84535725,2485975.74371626,-956340.01267689,3.1069503417314,207.929286854589,213.169454537468,0.156973088761022
97,65.295492,-20.999111,78.9,2485877.61128791,-954194.756444851,5787967.79694703,2485846.8259615,-954182.939613281,2.19976586391067,210.129052718499,215.424658200278,0.158633768925094
98,65.324138,-20.910298,10.1,2484623.35095933,-949297.122382308,5789235.82794882,2484619.41207124,-949295.617455964,5.21228270567869,215.341335424178,220.768299195121,0.162568703383741
99,65.333816,-20.896554,10.6,2483937.5964765,-948352.358424389,5789685.47387453,2483933.46373522,-948350.78056875,1.25100743619462,216.592342860373,222.050834122403,0.163513132637999
100,65.343407,-20.897573,28.8,2483022.37832126,-948053.531426638,5790147.00510572,2483011.15391045,-948049.245785722,1.06767641335781,217.66001927373,223.145417776783,0.164319158893066
101,65.351937,-20.885675,67.4,2482428.83222549,-947236.303844989,5790577.71668393,2482402.57042463,-947226.282961066,1.09803021434366,218.758049488074,224.271120198977,0.165148100293798
102,65.3536,-20.874238,88.4,2482469.0060952,-946683.99262069,5790673.92040918,2482434.56139025,-946670.857209644,0.562064751648901,219.320114239723,224.847349927537,0.165572422627052
103,65.344416,-20.814822,120.1,2484329.32953822,-944443.671038375,5790276.78641149,2484282.49822006,-944425.867624986,2.93897252742958,222.259086767153,227.860389504837,0.167791155747303
104,65.345896,-20.77682,104,2484809.0733567,-942740.26841077,5790330.80523877,2484768.51207507,-942724.879400025,1.7704950372141,224.029581804367,229.675503994256,0.169127764355122
105,65.35345,-20.752476,107.5,2484496.86691817,-941414.439222025,5790684.32471106,2484454.94588431,-941398.554691398,1.4072213455153,225.436803149882,231.118189684063,0.170190124951446
106,65.352055,-20.729088,101.4,2485010.42388946,-940449.19701891,5790614.09092932,2484970.87341912,-940434.229191122,1.09561218391278,226.532415333795,232.241413137393,0.171017240896461
107,65.361904,-20.660262,108.8,2485209.80875589,-937113.298984213,5791077.46561621,2485167.36860369,-937097.295815828,3.37382366511753,229.906238998912,235.700262832298,0.173564258344844
108,65.371335,-20.644931,107.7,2484567.99643121,-936112.024430165,5791513.57365468,2484525.99620365,-936096.199981768,1.26675333586257,231.172992334775,236.998940482398,0.174520574729306
109,65.389649,-20.645692,56.5,2482803.17255317,-935484.748666204,5792315.3934817,2482781.1544814,-935476.452571467,2.03739864522462,233.210390979999,239.087684999575,0.176058678202927
110,65.41057,-20.629642,20.1,2481071.39922865,-934038.645039403,5793250.69681147,2481063.57166974,-934035.698230812,2.44234454277633,235.652735522776,241.591580731878,0.177902489493283
111,65.426803,-20.596147,39.9,2480088.1899388,-932013.526806393,5794019.56877676,2480072.65785608,-932007.689872344,2.37885864740111,238.031594170177,244.030390617486,0.179698373061477
112,65.438797,-20.587102,35.2,2479097.97501135,-931194.799048909,5794569.78525222,2479084.27798316,-931189.654193184,1.39770487346434,239.429299043641,245.463320004143,0.180753549340312
113,65.455728,-20.554487,34.9,2478024.12325842,-929182.177437586,5795351.81181434,2478010.54884809,-929177.087454797,2.41150759515594,241.840806638797,247.935601645891,0.182574080740715
114,65.467454,-20.516732,60,2477534.74865539,-927137.025605858,5795916.15092522,2477511.41626095,-927128.29421398,2.17729468583673,244.018101324634,250.167767819153,0.184217796626769
115,65.473087,-20.474889,27.6,2477664.73832015,-925123.40842498,5796146.72033333,2477654.004801,-925119.400687505,2.03093912169398,246.049040446328,252.249890021943,0.185751023580223
116,65.504329,-20.386248,26.7,2476129.74940281,-920187.9467159,5797587.15492523,2476119.37232115,-920184.090348734,5.36561506928173,251.41465551561,257.750727613796,0.189801714001322
117,65.504297,-20.371538,15,2476364.40270909,-919551.638421792,5797575.03267496,2476358.57232476,-919549.473417538,0.678304775341314,252.092960290951,258.446126810114,0.19031378999272
118,65.514908,-20.336434,19.4,2475922.22903903,-917661.721463749,5798068.15033136,2475914.68976027,-917658.927148385,2.0026154613057,254.095575752257,260.499211548645,0.191825634424628
119,65.54821,-20.345285,18.5,2472619.90400208,-916872.230340971,5799601.09411885,2472612.72407187,-916869.567950922,3.72539441377005,257.820970166027,264.31849216627,0.194638064923615
120,65.617926,-20.302423,21.1,2466685.89271594,-912573.408444513,5802807.97007116,2466677.72337047,-912570.386119109,7.99852567758975,265.819495843616,272.518594141265,0.200676431620961
121,65.646594,-20.293711,38.7,2464107.90676376,-911193.72553772,5804139.24154674,2464092.93887854,-911188.190616518,3.21275897549502,269.032254819111,275.812320045522,0.203101855703625
122,65.659071,-20.279764,20.1,2463136.80087897,-910153.117970911,5804694.26555849,2463129.02990212,-910150.246519027,1.52773112856989,270.559985947681,277.378552567567,0.204255193348724
123,65.667139,-20.243425,60,2462962.06811045,-908313.586202835,5805100.32676167,2462938.87295547,-908305.0320823,1.89190231430881,272.45188826199,279.318134001621,0.205683456554949
124,65.652215,-20.181273,64,2465366.62180419,-906163.526813901,5804420.00331317,2465341.85616633,-906154.424022638,3.29658517811974,275.74847344011,282.697798669771,0.208172163968904
125,65.597831,-20.104369,60,2471751.75267033,-904746.418884284,5801920.60565182,2471728.47473774,-904737.898357852,7.00179118022212,282.750264620332,289.876046761956,0.213458060944003
126,65.579957,-20.042571,60,2474426.38767247,-902700.179826576,5801099.20281762,2474403.08455128,-902691.678570774,3.46633369599819,286.21659831633,293.429737896084,0.216074917449252
127,65.568595,-19.979614,75.1,2476503.75407335,-900375.904313589,5800590.51449351,2476474.5619152,-900365.290998042,3.15855530818699,289.375153624517,296.667894109468,0.218459421288268
